id,unidade_1,unidade_2,unidade_3,rec,resultado,faltas,situacao,tipo_de_ensino,semestre,p4
8gD86mMQp7J2wFahWQBbQA==,"9,3","9,2","9,3",-,"9,3",16,APR,PRESENCIAL,2019_1,
skhYzylUGrREZ/GAcyQ4vQ==,"7,6","5,3","7,5",-,"6,8",14,APRN,PRESENCIAL,2019_1,
1Y2tYV1PJYRRD/b/c8evqA==,"4,1","1,0","6,5","4,5","5,0",12,APR,PRESENCIAL,2019_1,"4,5"
KRj6MTZYhyqXVn09x8Ap+g==,"3,0","6,3","6,0",-,"5,1",18,APRN,PRESENCIAL,2019_1,
Nc5xTLwfZcUtxyiEhTOkOg==,"5,0","3,5","5,5","4,5","5,0",21,APR,PRESENCIAL,2019_1,"4,5"
dziRu4tvA4jfAy0tVh6cAg==,"4,0","0,0","0,0",-,"1,3",34,REMF,PRESENCIAL,2019_1,
soq4yvF+DdWZEtgmu6j71A==,"3,1","3,1","6,0","3,7","4,3",8,REP,PRESENCIAL,2019_1,"3,7"
88dnSCGf8A1xVGTLo1ZKtA==,"0,0","0,0","0,0",-,"0,0",68,REMF,PRESENCIAL,2019_1,
gfBBVcfQvo7FlR8omsGTUw==,"10,0","9,4","10,0",-,"9,8",12,APR,PRESENCIAL,2019_1,
+3L9lYtXT7ufkmn3uRiFbA==,"9,4","4,9","10,0",-,"8,1",12,APR,PRESENCIAL,2019_1,
D3DFltmfwCeW4TEX6gamTQ==,"5,4","5,8","10,0",-,"7,1",18,APR,PRESENCIAL,2019_1,
GkRMMDu8g14l1L+lmXW4Lg==,"3,0","3,5","9,3",-,"5,3",13,APRN,PRESENCIAL,2019_1,
vOFlQwcEJwXL9zPipwSQWQ==,"7,3","4,5","4,5",-,"5,4",18,APRN,PRESENCIAL,2019_1,
ZW57hpj9HhJ+vjldvLM8+w==,"2,4","5,8","6,0","0,0","4,7",18,REP,PRESENCIAL,2019_1,"0,0"
Jba31ogNJ88J7XwiwugxJQ==,"7,5","4,5","6,3",-,"6,1",12,APRN,PRESENCIAL,2019_1,
0baAN+bw8zKU0tL0GvBupg==,"9,0","9,2","7,5",-,"8,6",2,APR,PRESENCIAL,2019_1,
FWnb0cM5Nwek+p/XKXsmug==,"3,0","3,5","3,0","4,5","3,7",25,REP,PRESENCIAL,2019_1,"4,5"
Wb1HlQq+M0I3VGGMFxe1ug==,"8,7","5,5","6,5",-,"6,9",18,APRN,PRESENCIAL,2019_1,
XaPzNYwoyx3Y3+cFqAmWWw==,"6,8","7,0","4,0",-,"5,9",18,APRN,PRESENCIAL,2019_1,
Xr4LjN4DYm6tmNzz61T+jw==,"7,1","0,0","0,0",-,"2,4",66,REMF,PRESENCIAL,2019_1,
FxwdvwRGnc6ygYnw0fad7Q==,"5,3","5,6","7,5",-,"6,1",4,APRN,PRESENCIAL,2019_1,
nJ6Hh1yHnguMqqXMKNcIOA==,"9,0","9,0","9,0",-,"9,0",8,APR,PRESENCIAL,2019_1,
4iViaSaU7KqRTN9FcHXR7w==,"3,3","0,0","0,0",-,"1,1",52,REMF,PRESENCIAL,2019_1,
N9mRQrO4JFnuCN2tF2Q0ag==,"4,0","7,0","3,0","3,0","4,7",12,REP,PRESENCIAL,2019_1,"3,0"
43ZOWCPFyUGu9BK1+cBOQw==,"0,0","0,0","0,0",-,"0,0",64,REMF,PRESENCIAL,2019_1,
mRpZcpiBh/mb+2+8mnxnNA==,"1,0","0,0","0,0",-,"0,3",63,REMF,PRESENCIAL,2019_1,
U5zc5hrp5fmCRBsfhvu3QQ==,"7,0","8,0","7,5",-,"7,5",4,APR,PRESENCIAL,2019_1,
V4ZBkucSjKOTEOt0h1xsAA==,"9,3","7,9","9,3",-,"8,8",20,APR,PRESENCIAL,2019_1,
fUJbN6O96WX16dXOmsybYg==,"0,0","0,0","0,0",-,"0,0",86,REMF,PRESENCIAL,2019_1,
xvlzLNkcJR7HQFuqZdJ5eg==,"0,0","0,0","0,0",-,"0,0",54,REMF,PRESENCIAL,2019_1,
Ichv0ZwkjRs9/15lE9yhlQ==,"3,0","5,0","5,0","5,0","5,0",26,APR,PRESENCIAL,2019_1,"5,0"
MFVl6v60DnhNndTgSrdA4g==,"9,2","9,0","8,0",-,"8,7",10,APR,PRESENCIAL,2019_1,
pG5D2+pObRwFGj+7YAm1vQ==,"5,9","6,7","7,7",-,"6,8",12,APRN,PRESENCIAL,2019_1,
qx7p4YapLqcUGfGqk4FKkw==,"7,0","5,0","7,8",-,"6,6",29,REPF,PRESENCIAL,2019_1,
hw8YtldvQKnowJDg0pFDIA==,"7,2","2,0","0,0","0,0","3,1",26,REP,PRESENCIAL,2019_1,"0,0"
RWw9petTdqKdm2pihGQw9A==,"4,5","5,0","0,0",-,"3,2",39,REMF,PRESENCIAL,2019_1,
eTfUgzzmP1rQUjOTPdhuzA==,"7,0","7,0","7,5",-,"7,2",19,APR,PRESENCIAL,2019_1,
yHYSf5TDcIkTYchIIvY4dQ==,"8,0","7,0","0,0","7,0","7,3",18,APR,PRESENCIAL,2019_1,"7,0"
lr4vwbAQgcew3DVb8HelHw==,"5,6","5,8","10,0",-,"7,1",18,APR,PRESENCIAL,2019_1,
NJ+9dWg8rdzWCt2shdNf5A==,"4,2","3,0","9,0",-,"5,4",18,APRN,PRESENCIAL,2019_1,
kXOAKxtp+82+pRsARTfTzg==,"4,0","0,0","0,0",-,"1,3",68,REMF,PRESENCIAL,2019_1,
jbdCi0sGz3CFIWNXRSF29w==,"7,0","2,0","5,5","5,0","5,8",26,APR,PRESENCIAL,2019_1,"5,0"
vmiAdBb2LyEEghb0Gxq55Q==,"2,0","1,0","5,5",-,"2,8",11,REP,PRESENCIAL,2019_1,
gBL6hyQ57EGGMdm3RagPiQ==,"5,8","2,5","7,0","5,0","5,9",18,APR,PRESENCIAL,2019_1,"5,0"
unqZjGz8pBeBNRj2mU+qAg==,"6,7","6,0","10,0",-,"7,6",18,APR,PRESENCIAL,2019_1,
0z0FcRXUaT+yvkf0vTyk/w==,"4,0","6,0","8,0",-,"6,0",11,APRN,PRESENCIAL,2019_1,
/wQ3sFh8orFVmfwM5q5kcg==,"6,2","1,4","7,7","2,3","5,4",16,REPN,PRESENCIAL,2019_1,"2,3"
LhCy3/j7i9pSYEWVlUW8ag==,"0,0","1,5","0,0",-,"0,5",48,REMF,PRESENCIAL,2019_1,
poeXxB9J4tkGXhEHNgVe9Q==,"10,0","7,5","9,5",-,"9,0",18,APR,PRESENCIAL,2019_1,
9sGVTcw+nAmrbNVSDI+7wg==,"9,4","0,0","6,5","5,0","7,0",18,APR,PRESENCIAL,2019_1,"5,0"
kFwnmzCXR/dxzrT4cSe6XA==,"4,5","4,0","8,8",-,"5,8",17,APRN,PRESENCIAL,2019_1,
o+MNxoqduLrqYaTCYhxAzw==,"8,2","7,0","10,0",-,"8,4",10,APR,PRESENCIAL,2019_1,
WKTHkMI7PnL7v90fuLvKww==,"9,9","5,4","7,8",-,"7,7",8,APR,PRESENCIAL,2019_1,
O7r25NaYeeWuXt3+uAa2Nw==,"5,2","7,0","10,0",-,"7,4",18,APR,PRESENCIAL,2019_1,
7V/JHBB02kuqFdhlpSO+Fw==,"5,1","7,2","7,8",-,"6,7",8,APRN,PRESENCIAL,2019_1,
AUdbc+v6PPYefY/fHBljpw==,"0,0","0,0","0,0",-,"0,0",66,REMF,PRESENCIAL,2019_1,
IA9qT1flrrY9aLT4JujzFg==,"2,9","4,1","0,0",-,"2,3",52,REMF,PRESENCIAL,2019_1,
kMkKj7M6N1wZAF2fHuvH+w==,"5,5","3,5","6,3",-,"5,1",17,APRN,PRESENCIAL,2019_1,
2tMZwFcx6ziwOPcYPl+xeQ==,"4,3","2,3","7,5","4,3","5,4",12,APR,PRESENCIAL,2019_1,"4,3"
k+QFpY2Omrxeg8HpZLjXYg==,"0,0","3,0","7,8","5,0","5,3",22,APR,PRESENCIAL,2019_1,"5,0"
6/SdUSpAC9mpnOM6C2y5xQ==,"4,5","0,0","7,5",-,"4,0",30,REMF,PRESENCIAL,2019_1,
ZYWsGLmvbLknj9C4G3LCdw==,"6,3","7,5","10,0",-,"7,9",10,APR,PRESENCIAL,2019_1,
p1GaiuQvxFZV+yK0ugkDSw==,"9,6","8,9","10,0",-,"9,5",4,APR,PRESENCIAL,2019_1,
sjTYZTZGXKLG5vrkb6ZL6A==,"0,0","0,0","0,0",-,"0,0",68,REMF,PRESENCIAL,2019_1,
IbZ/TW5DeEQXy7mBWz941g==,"9,3","3,0","6,5",-,"6,3",24,APRN,PRESENCIAL,2019_1,
1yTfL9Xsd89eblbgpt9bZw==,"10,0","9,5","9,3",-,"9,6",19,APR,PRESENCIAL,2019_1,
t+AeDjohhQnKqeoU7jbGGA==,"5,5","8,5","7,5",-,"7,2",10,APR,PRESENCIAL,2019_1,
U21Nl3ttK+ctWxJXaGKipg==,"10,0","7,0","5,0",-,"7,3",68,REPF,PRESENCIAL,2019_1,
0Yc0yvuXp+Xf9nRScAWGaQ==,"0,0","0,5","0,0",-,"0,2",48,REMF,PRESENCIAL,2019_1,
Fbhr/NSgxucALbLF3ZcNfA==,"5,6","3,0","6,0","4,5","5,4",12,APR,PRESENCIAL,2019_1,"4,5"
1o+pc4GcaE08EBTnBugH5Q==,"10,0","8,0","5,0",-,"7,7",4,APR,PRESENCIAL,2019_1,
9ETvVIheb1NuNUGyj3xdMg==,"6,0","7,5","9,5",-,"7,7",12,APR,PRESENCIAL,2019_1,
pfB+tmgRWUJ/UAYn0KfAPQ==,"1,6","0,0","0,0",-,"0,5",48,REMF,PRESENCIAL,2019_1,
KD9X+bZ9hqC3oAU5bGkLPQ==,"4,0","2,5","3,5","5,0","4,2",26,REP,PRESENCIAL,2019_1,"5,0"
ATkmOS2a52BIxPZcMhVf1Q==,"5,4","3,1","0,0",-,"2,8",40,REMF,PRESENCIAL,2019_1,
XUceINMPTyN55Kjc3LG5bA==,"6,4","7,0","4,0",-,"5,8",18,APRN,PRESENCIAL,2019_1,
EAmeibX9MHi8Ji2cM11KKQ==,"5,9","2,3","10,0","3,9","6,6",8,APR,PRESENCIAL,2019_1,"3,9"
VHLxjiMVSm/bvaEnMRPjtg==,"0,0","0,0","0,0",-,"0,0",64,REMF,PRESENCIAL,2019_1,
KtFdfPvKENEfwYWefg+LFQ==,"9,4","4,8","10,0",-,"8,1",20,APR,PRESENCIAL,2019_1,
Sbuyf293C0tnPdAaGp2H3w==,"9,0","5,2","0,0","3,6","5,9",24,APR,PRESENCIAL,2019_1,"3,6"
xrwcxwcFwIR1xt7uTHNw/g==,"2,0","2,0","0,0",-,"1,3",29,REMF,PRESENCIAL,2019_1,
Aep5PH1NCShfLnxJayPxQw==,"7,5","5,0","6,5",-,"6,3",24,APRN,PRESENCIAL,2019_1,
WsAqwvIcllbiyRNdbjUK1w==,"7,4","6,5","6,0",-,"6,6",18,APRN,PRESENCIAL,2019_1,
zy0uZj8yLdytDqVhIDS/JQ==,"9,3","5,6","0,0","4,0","6,3",24,APR,PRESENCIAL,2019_1,"4,0"
S6YHDBJtF24Js0BmTwgWQg==,"0,0","0,0","0,0",-,"0,0",78,REMF,PRESENCIAL,2019_1,
x5I4/9DLRssdhT4/LFQfdw==,"3,0","3,5","3,0","4,5","3,7",16,REP,PRESENCIAL,2019_1,"4,5"
6ww/mSrpzgLrRAR/8BC9sw==,"6,6","0,0","8,5","4,0","6,4",18,APR,PRESENCIAL,2019_1,"4,0"
6LtXe/0kS+BimTap1zuCMw==,"5,6","3,0","10,0",-,"6,2",4,APRN,PRESENCIAL,2019_1,
odrOoYuSd+H833CCmG+G7g==,"3,0","3,0","9,5",-,"5,2",18,APRN,PRESENCIAL,2019_1,
d/2eMReEcg0Be6OmJ1IYyw==,"6,2","5,7","9,5",-,"7,1",12,APR,PRESENCIAL,2019_1,
6gGvWU3ZBsK+KrFWtVeA7g==,"7,4","4,0","10,0",-,"7,1",10,APR,PRESENCIAL,2019_1,
QIKzmtvo6Nk11Q3nfX4Gxw==,"8,6","6,8","10,0",-,"8,5",6,APR,PRESENCIAL,2019_1,
bNBTfPylDRSGLbhnQRQsxg==,"4,3","9,8","8,5",-,"7,5",14,APR,PRESENCIAL,2019_1,
dZh99ycNfN86tLiS6Hl9fw==,"7,9","7,2","10,0",-,"8,4",10,APR,PRESENCIAL,2019_1,
E1mkJzp7QbnUnc/ND38TcQ==,"10,0","9,2","10,0",-,"9,7",4,APR,PRESENCIAL,2019_1,
+50VkEeWAqp2z37O/VYN9w==,"8,3","10,0","9,5",-,"9,3",18,APR,PRESENCIAL,2019_1,
By+J9yI+BYbDVdLJPwPbnA==,"5,8","4,9","9,0",-,"6,6",12,APRN,PRESENCIAL,2019_1,
EBzVlrjGRaa4buQTMh7wvw==,"4,0","2,5","0,0",-,"2,2",65,REMF,PRESENCIAL,2019_1,
K4FxukXcKlSLIZt6VgEdKg==,"0,0","0,5","0,0",-,"0,2",54,REMF,PRESENCIAL,2019_2,
1Q+wTI8GwuFX/IYXrv701w==,"7,7","1,0","6,1","0,4","4,9",28,REMF,PRESENCIAL,2019_2,"0,4"
Yx1+flcGjl8KWqRGLRyBKQ==,"10,0","10,0","10,0",-,"10,0",12,APR,PRESENCIAL,2019_2,
RcKgWrE0yLTgAq9GTGfepA==,"5,6","6,4","7,6",-,"6,5",10,APRN,PRESENCIAL,2019_2,
KZ4MNV8Ow3hVxSn3yFzrng==,"4,3","0,5","0,0",-,"1,6",60,REMF,PRESENCIAL,2019_2,
1PqXKSxi2jZ1ckCKfKYPMA==,"7,4","1,8","0,3","0,0","3,2",28,REMF,PRESENCIAL,2019_2,"0,0"
qxF5Z4fP8oKz2PIlq/R5bg==,"5,1","4,3","6,3",-,"5,2",0,APRN,PRESENCIAL,2019_2,
N3pnYoKpB4SF63RcGtsSQw==,"3,6","1,3","0,3",-,"1,7",34,REMF,PRESENCIAL,2019_2,
SZ+vVk6x5C9NBJL2HfYTqw==,"10,0","10,0","10,0",-,"10,0",14,APR,PRESENCIAL,2019_2,
J5LDUEjGAuG//ZPCGineXw==,"5,1","3,3","3,9","6,0","5,0",0,APR,PRESENCIAL,2019_2,"6,0"
kGGS+G6uMhlZC4SHqXB1dw==,"10,0","10,0","10,0",-,"10,0",0,APR,PRESENCIAL,2019_2,
LJ017LqVaWvwqH0Kft6nmw==,"8,0","5,2","6,9",-,"6,7",10,APRN,PRESENCIAL,2019_2,
GhQKbvOwTm3he1/xzAjmaw==,"10,0","5,5","5,8",-,"7,1",12,APR,PRESENCIAL,2019_2,
3jZoA7xk5BBQcCdJT+MBIg==,"0,0","0,0","0,0",-,"0,0",28,REMF,PRESENCIAL,2019_2,
MpLR1wzGW0nSSaOAj6Tu6A==,"6,9","2,5","0,2","0,0","3,2",28,REMF,PRESENCIAL,2019_2,"0,0"
soq4yvF+DdWZEtgmu6j71A==,"3,2","2,8","7,2","4,5","5,0",18,APR,PRESENCIAL,2019_2,"4,5"
aFRgJOh+ukUgTdtuLduGrg==,"10,0","9,7","9,4",-,"9,7",24,APR,PRESENCIAL,2019_2,
1eTdgjvDdc5T+CPcA65n5w==,"5,6","7,0","10,0",-,"7,5",20,APR,PRESENCIAL,2019_2,
8T37u6IO/ThZ0gshKRPPFA==,"0,0","0,0","0,0",-,"0,0",28,REMF,PRESENCIAL,2019_2,
l7yzDLnSNgOuyf+w8PDxJA==,"1,8","2,5","0,0",-,"1,4",4,REP,PRESENCIAL,2019_2,
88dnSCGf8A1xVGTLo1ZKtA==,"4,3","1,3","5,7","0,0","3,8",28,REMF,PRESENCIAL,2019_2,"0,0"
HXXJy3gx0t9PbEXw5WQGwg==,"0,0","0,0","0,0",-,"0,0",90,REMF,PRESENCIAL,2019_2,
QyIhBPXsyj/iXmjfYxLfWw==,"5,0","5,4","5,1",-,"5,2",24,APRN,PRESENCIAL,2019_2,
u3vVc+s2q7WqkJqyV7foCg==,"9,2","9,0","10,0",-,"9,4",6,APR,PRESENCIAL,2019_2,
sxXx9hkCewtb6NYPQatleQ==,"10,0","10,0","10,0",-,"10,0",8,APR,PRESENCIAL,2019_2,
cjkCZMd4AVtdkrs7Q+As/Q==,"10,0","9,5","9,0",-,"9,5",20,APR,PRESENCIAL,2019_2,
s+HxppEloLHobkm0FVai8Q==,"5,3","7,7","3,0",-,"5,3",0,APRN,PRESENCIAL,2019_2,
ln6KXhq+L07ATdl33vBaww==,"9,8","6,5","10,0",-,"8,8",30,REPF,PRESENCIAL,2019_2,
LswpVSpph2Qm0JDbUnaWoQ==,"5,2","6,4","3,8",-,"5,1",24,APRN,PRESENCIAL,2019_2,
5pbOtufMA1DEhDS2or0skA==,"6,2","4,0","10,0",-,"6,7",32,REPF,PRESENCIAL,2019_2,
fRQgEKxTMuYX8D0GT19NvQ==,"2,7","0,8","0,0",-,"1,2",28,REMF,PRESENCIAL,2019_2,
d8FlZ9zN0trN+m1Qu3Wvvw==,"0,0","0,0","0,0",-,"0,0",80,REMF,PRESENCIAL,2019_2,
FQ0I7AXgZVtokjj549sWZQ==,"10,0","9,5","10,0",-,"9,8",16,APR,PRESENCIAL,2019_2,
cXxvG7vZ6HaVQ0esljXq8A==,"2,0","0,0","0,0",-,"0,7",42,REMF,PRESENCIAL,2019_2,
KI26qtTPHhcFdzpVV/d0sw==,"3,5","0,9","0,0",-,"1,5",22,REP,PRESENCIAL,2019_2,
UZMyBVxsPxlWTcpy/pGcag==,"6,9","3,3","7,3",-,"5,8",28,REPF,PRESENCIAL,2019_2,
LHYXsF+Agc/Dh59ahhYR5g==,"2,6","0,0","0,0",-,"0,9",69,REMF,PRESENCIAL,2019_2,
IUqmW2TprhZlc5PHZOfpDw==,"4,6","0,1","0,0",-,"1,6",44,REMF,PRESENCIAL,2019_2,
+qRTFo3+Cmb7ktmWUVN3QA==,"1,5","0,0","0,0",-,"0,5",62,REMF,PRESENCIAL,2019_2,
eoP5hc3CWD5C9xnnnOcjbA==,"7,5","9,3","8,3",-,"8,4",0,APR,PRESENCIAL,2019_2,
bUQoNjlaxl1riN7iozbDkA==,"6,0","5,5","9,0",-,"6,8",22,APRN,PRESENCIAL,2019_2,
K6FmWPAJ1Vb6mMbqaPwL2Q==,"9,9","5,2","9,8",-,"8,3",28,REPF,PRESENCIAL,2019_2,
zBC3cSIKRYhIlpkNTCv87w==,"8,0","1,8","7,5","5,0","6,8",20,APR,PRESENCIAL,2019_2,"5,0"
E8tS6CTKcM0lFhFpmrjMgg==,"6,0","7,5","7,5",-,"7,0",10,APR,PRESENCIAL,2019_2,
SVhTbwqOuSlGgWOtjT641g==,"6,7","8,3","3,6",-,"6,2",18,APRN,PRESENCIAL,2019_2,
yHYAv8bvlMKKgKsRffkZdw==,"10,0","7,4","7,5",-,"8,3",28,REPF,PRESENCIAL,2019_2,
A7a1dpR8Wj5nfY4CRdRTdA==,"0,3","3,0","1,0",-,"1,4",12,REP,PRESENCIAL,2019_2,
Fu4FJZafyl2kKhiElbeO7Q==,"1,0","0,0","0,0",-,"0,3",28,REMF,PRESENCIAL,2019_2,
vipCxpQ7o1Hx+Xh7yJODdQ==,"7,4","2,8","6,4","4,0","5,9",22,APR,PRESENCIAL,2019_2,"4,0"
X1sU6P2EaT6u5XIiGK4CCA==,"7,6","6,7","2,6","3,0","5,8",0,APR,PRESENCIAL,2019_2,"3,0"
FWnb0cM5Nwek+p/XKXsmug==,"6,6","4,3","4,2",-,"5,0",28,REPF,PRESENCIAL,2019_2,
fvEzoidk0pctlgTNvhAxtA==,"7,4","7,4","10,0",-,"8,3",6,APR,PRESENCIAL,2019_2,
iWsxg0FXSKo80J+jIwP8LA==,"2,0","1,0","1,5",-,"1,5",27,REP,PRESENCIAL,2019_2,
yhZB9dGBcg4JNPEA0ftTLA==,"3,5","3,4","1,1",-,"2,7",22,REP,PRESENCIAL,2019_2,
6c7mWSCQGnHYioXexDtMzw==,"10,0","10,0","10,0",-,"10,0",22,APR,PRESENCIAL,2019_2,
4iViaSaU7KqRTN9FcHXR7w==,"5,4","4,5","7,2",-,"5,7",20,APRN,PRESENCIAL,2019_2,
PT+8ShUOWlLKbXwpCQzgwg==,"1,7","0,7","0,0",-,"0,8",28,REMF,PRESENCIAL,2019_2,
s6lTa6ivL2xMleueS3Xzpg==,"5,0","2,0","4,0","2,0","3,7",20,REP,PRESENCIAL,2019_2,"2,0"
eHUsNTuRYE7V69oePb7BwA==,"8,4","8,4","9,5",-,"8,8",0,APR,PRESENCIAL,2019_2,
Pjt/+DaVyt4xuoz7J1KxiQ==,"3,5","0,2","0,0",-,"1,2",64,REMF,PRESENCIAL,2019_2,
xuMeKA6Svjo/D2dYy0Vxhw==,"6,3","6,6","7,5",-,"6,8",0,APRN,PRESENCIAL,2019_2,
DqGpd8mEXYRZ2Wa8CB1UvQ==,"9,5","3,8","5,3",-,"6,2",28,REPF,PRESENCIAL,2019_2,
rXBMUbawC89wOK2PP82J+g==,"3,6","8,0","4,3",-,"5,3",6,APRN,PRESENCIAL,2019_2,
yjiGs5rWp4mOkL+vfoIyxg==,"9,2","9,7","10,0",-,"9,6",12,APR,PRESENCIAL,2019_2,
N9mRQrO4JFnuCN2tF2Q0ag==,"8,5","8,0","6,0",-,"7,5",20,APR,PRESENCIAL,2019_2,
9aVTOAwU/WYh46VfAb60SQ==,"9,7","8,7","10,0",-,"9,5",29,REPF,PRESENCIAL,2019_2,
GNqYh5oAQAfcnMckZoTTxA==,"0,0","0,0","0,0",-,"0,0",62,REMF,PRESENCIAL,2019_2,
WKS/aASG1vOj5qnnFEN/qw==,"7,0","4,9","6,8",-,"6,2",0,APRN,PRESENCIAL,2019_2,
SwKpio/zSs14F8FNUVXrDA==,"7,3","1,8","5,1","3,0","5,1",8,APR,PRESENCIAL,2019_2,"3,0"
qqzk2p9QZxAxhzHkja8m0w==,"5,5","6,5","5,0",-,"5,7",18,APRN,PRESENCIAL,2019_2,
1oEUw6kR6J4XQbteNKPO7w==,"1,3","0,0","0,0",-,"0,4",28,REMF,PRESENCIAL,2019_2,
UUYxznh+Iay6QuXea8ZSPA==,"0,0","0,0","0,0",-,"0,0",92,REMF,PRESENCIAL,2019_2,
z2AIOBCPS4fOVqeOsg2zrw==,"3,0","0,2","0,0",-,"1,1",60,REMF,PRESENCIAL,2019_2,
alsUiAvQT4SNVY86Caw2Yg==,"0,0","0,0","0,0",-,"0,0",84,REMF,PRESENCIAL,2019_2,
wFBamZBleEqk4Sm9w8viXw==,"5,9","2,0","0,0",-,"2,6",32,REMF,PRESENCIAL,2019_2,
mRpZcpiBh/mb+2+8mnxnNA==,"0,0","0,0","0,0",-,"0,0",92,REMF,PRESENCIAL,2019_2,
3lbyQKtYA94rSXO39C3X5Q==,"7,0","7,9","7,3",-,"7,4",6,APR,PRESENCIAL,2019_2,
h9HCLK60wEb4qCCSMiBIGg==,"5,0","2,9","0,0",-,"2,6",28,REMF,PRESENCIAL,2019_2,
uwi69ZnzmhCWHpUYZ/ibJQ==,"7,7","1,5","7,4","6,5","7,2",8,APR,PRESENCIAL,2019_2,"6,5"
UX+87NKgRS9pShJiCHV+5g==,"9,6","8,0","7,4",-,"8,3",8,APR,PRESENCIAL,2019_2,
5Q7nwGatXNKd89zIzzbZyA==,"4,3","3,1","1,9","0,0","3,1",18,REP,PRESENCIAL,2019_2,"0,0"
XLT6IZlGZ3kXWEkGt3ECBg==,"9,8","8,0","8,0",-,"8,6",18,APR,PRESENCIAL,2019_2,
9GTtj2UBinL/TPmBP6RORw==,"10,0","8,0","10,0",-,"9,3",2,APR,PRESENCIAL,2019_2,
Uzsa+/X9TesnemJxw6C62g==,"5,2","3,6","1,5","1,0","3,4",18,REP,PRESENCIAL,2019_2,"1,0"
omN6/9aMLOen9HA0LNdKtA==,"5,4","3,0","4,4","7,0","5,6",24,APR,PRESENCIAL,2019_2,"7,0"
96EBvJxbEtgQ10sBZx8I8A==,"2,2","0,0","5,2",-,"2,5",76,REMF,PRESENCIAL,2019_2,
U4fT4LWjaE8Uz0htF0Z+bQ==,"8,9","9,8","8,6",-,"9,1",10,APR,PRESENCIAL,2019_2,
xvlzLNkcJR7HQFuqZdJ5eg==,"7,7","1,8","5,7","2,0","5,1",28,RENF,PRESENCIAL,2019_2,"2,0"
NOnVQAoQSIdkXdcAo8kamw==,"6,8","0,8","5,2","0,7","4,3",28,REMF,PRESENCIAL,2019_2,"0,7"
7gvreWUfweEwKfA4c2BQMQ==,"0,3","0,0","0,0",-,"0,1",46,REMF,PRESENCIAL,2019_2,
90TmEdI04zcgSezxTxotvg==,"7,5","10,0","1,0","4,5","7,3",30,RENF,PRESENCIAL,2019_2,"4,5"
